features,feature_importances,iteration
Android Ver_1-2-3 and up,0.7254889922246848,0
Android Ver_5 and up,0.7277236309822056,1
Cluster_21,0.7291319723555494,2
Category_VIDEO_PLAYERS,0.7296226133504194,3
Category_TRAVEL_AND_LOCAL,0.7297087121530699,4
Category_PARENTING,0.7298815018620796,5
Category_COMMUNICATION,0.730289727447059,6
Content Rating,0.730289727447059,7
count_cat_size,0.730289727447059,8
min_cat_price,0.730289727447059,9
25%_cat_price,0.730289727447059,10
50%_cat_price,0.730289727447059,11
75%_cat_price,0.730289727447059,12
count_type_size,0.730289727447059,13
mean_type_size,0.730289727447059,14
std_type_size,0.730289727447059,15
min_type_size,0.730289727447059,16
25%_type_size,0.730289727447059,17
50%_type_size,0.730289727447059,18
75%_type_size,0.730289727447059,19
max_type_size,0.730289727447059,20
count_type_price,0.730289727447059,21
mean_type_price,0.730289727447059,22
std_type_price,0.730289727447059,23
min_type_price,0.730289727447059,24
25%_type_price,0.730289727447059,25
50%_type_price,0.730289727447059,26
75%_type_price,0.730289727447059,27
max_type_price,0.730289727447059,28
count_rating_size,0.730289727447059,29
mean_rating_size,0.730289727447059,30
std_rating_size,0.730289727447059,31
25%_rating_size,0.730289727447059,32
50%_rating_size,0.730289727447059,33
75%_rating_size,0.730289727447059,34
max_rating_size,0.730289727447059,35
count_rating_price,0.730289727447059,36
mean_rating_price,0.730289727447059,37
std_rating_price,0.730289727447059,38
min_rating_price,0.730289727447059,39
25%_rating_price,0.730289727447059,40
50%_rating_price,0.730289727447059,41
75%_rating_price,0.730289727447059,42
Category_ART_AND_DESIGN,0.730289727447059,43
Category_BEAUTY,0.730289727447059,44
Category_ENTERTAINMENT,0.730289727447059,45
Category_FAMILY,0.730289727447059,46
Category_FINANCE,0.730289727447059,47
Category_GAME,0.730289727447059,48
Category_LIBRARIES_AND_DEMO,0.730289727447059,49
Category_LIFESTYLE,0.730289727447059,50
Category_NEWS_AND_MAGAZINES,0.730289727447059,51
Category_TOOLS,0.730289727447059,52
Type_Free,0.730289727447059,53
Type_Paid,0.730289727447059,54
Cluster_8,0.7296653862928596,55
Cluster_10,0.7296652270942161,56
Cluster_11,0.7301789052442604,57
Category_AUTO_AND_VEHICLES,0.7311410782592622,58
Cluster_20,0.7308474301106895,59
Category_SOCIAL,0.729581384548316,60
std_cat_price,0.7285040904351886,61
Cluster_16,0.7297208815010021,62
Category_EVENTS,0.7297691404623782,63
Category_FOOD_AND_DRINK,0.729986572674784,64
Category_COMICS,0.7296625517697742,65
Cluster_5,0.7284677546675095,66
Category_SPORTS,0.7288103357986213,67
Cluster_22,0.729585536518026,68
Cluster_7,0.7300099379544222,69
Cluster_18,0.7311445106198484,70
Category_HOUSE_AND_HOME,0.7302993208879016,71
Category_PHOTOGRAPHY,0.72965553748853,72
Cluster_12,0.7297982403604524,73
max_cat_size,0.7288286947819141,74
Cluster_14,0.7287996931538783,75
max_rating_price,0.7282816231309579,76
Cluster_15,0.7279218482131258,77
Category_WEATHER,0.7290678965459128,78
Category_SHOPPING,0.728019923152757,79
Category_BOOKS_AND_REFERENCE,0.728370898397591,80
mean_cat_price,0.7280314601877829,81
Cluster_24,0.7286051913631286,82
price_for_mb,0.7274482825280558,83
Cluster_17,0.728230871706217,84
Cluster_13,0.7272684949766597,85
mean_cat_size,0.7283390689531606,86
Cluster_0,0.7285127031487727,87
Category_EDUCATION,0.7292316219586242,88
75%_cat_size,0.728073877371927,89
Category_BUSINESS,0.7291832029005376,90
Category_MAPS_AND_NAVIGATION,0.7296498725631791,91
count_cat_price,0.7277836023473903,92
50%_cat_size,0.7276875461424792,93
Cluster_6,0.7280373432497498,94
Android Ver_4 and up,0.730012924740858,95
Category_HEALTH_AND_FITNESS,0.7280630493754272,96
std_cat_size,0.7285418236666192,97
Cluster_3,0.7297709783122854,98
min_rating_size,0.7305632716392907,99
Category_PERSONALIZATION,0.7299957065310156,100
Genres,0.729694613900054,101
Category_DATING,0.7290297905851787,102
Cluster_19,0.7278072041932871,103
Cluster_2,0.7282040837131393,104
len_of_app_title,0.7283467830618879,105
Category_PRODUCTIVITY,0.7293266384999685,106
Cluster_1,0.7283801169504128,107
Cluster_23,0.7283788551755577,108
Category_MEDICAL,0.7256520121138688,109
count_of_cleantext_title,0.7274400750543295,110
Cluster_9,0.7255666580861269,111
Cluster_4,0.7239818203184843,112
25%_cat_size,0.7257762836380561,113
max_cat_price,0.7202539648829598,114
Android Ver_Varies with device,0.7163966730861729,115
diff_count_title,0.7105772443705843,116
diff_len_title,0.7046746133456198,117
count_of_app_title,0.7016589644395101,118
Price,0.6877941505443901,119
len_of_cleantext_title,0.6655593846248581,120
min_cat_size,0.6322012462742191,121
